ID,Dialogue,Manipulative,Technique,Vulnerability
85515699,"Person1: You're crazy -- both of you.
Person2: The official term is ""psychotic"".
Person1: You'll never get away with this.",1,"Intimidation,Accusation",
85515700,"Person1: ... I'm about to surrender the Horn of Plenty for the Horn of Gabriel, my boy...
Person2: Oh, I see.
Person1: Let me feel the strength in your hand, Chauncey... Let me feel your strength...  Yes, that's good... I hope, Chauncey - I hope that you'll stay with Eve... Take care of her, watch over her, she's a delicate flower, Chauncey...
Person2: A flower...
Person1: She cares for you and she needs your help, Chauncey... there's much to be looked after...
Person2: Yes. I would like to do that.
Person1: ... I've worked very hard and enjoyed my life... I've known success... and I've felt love... My associates, Chauncey - I've talked with them about you... They're eager to meet you... very eager to meet you... I'm very fond of you, Chauncey... And I understand Eve... Tell her that... tell her I'm madly in love with her...",1,Persuasion or Seduction,Over-responsibility
85515701,"Person1: Elle, believe me, I never expected to be doing this, but I think it's the right thing to do.
Person2: How can it be the right thing if we're not together?
Person1: I have to think about my future. And what people expect from me.
Person2: So you're breaking up with me because you're afraid your family won't like me?  Everybody likes me!
Person1: East coast people are different.
Person2: Just because I'm not a Vanderbilt, all of a sudden I'm white trash? I grew up in Bel Air, Warner! Across the street from Aaron Spelling! I think most people would agree that's way better than a Vanderbilt --
Person1: I told you, Elle. I need someone -- serious.
Person2: I'm seriously in love with you -- Isn't that enough?",1,"Rationalization,Persuasion or Seduction",
85515702,"Person1: Someone will follow. When you come to the lock, he will tell you how to go on the other side. Jessica may go with you as far as the lock.
Person2: No. Jessica goes back now. Take her back.  Now! Go on back. Back outside, Jessica.",0,,
85515703,"Person1: Our children.
Person2: Do you realize what could have hap- pened to your son today?  How lucky we are the police found him before some lunatic did?  He could have been...
Person1: But he hasn't.  He wandered off.  I know it's terrifying.  I can imagine how you felt when that call came -- But it happens.
Person2: Not to me.
Person1: Jackie, you've made mistakes -- We all make mistakes --
Person2: I'm not gonna wait around to see the next one.  I'm not gonna watch my kids fall through the cracks of this arrangement.  I'm seeing a lawyer.
Person1: Jackie stop.  We promised we never go there.
Person2: We've broken a lot of promises, haven't we Luke?",1,"Rationalization,Accusation",
85515705,"Person1: The office politics here are getting out of hand. I overheard Mark and Jenny plotting against you.
Person2: That doesn't surprise me. They've been trying to take over my position for a while.
Person1: It's a cutthroat environment, and I'm not sure how much longer I can handle it.
Person2: Stick with me, and I'll make sure you're protected. Together, we can navigate these treacherous waters.
Person1: I appreciate that, Chris. I'm glad to have someone I can trust in this place.",1,Persuasion or Seduction,Dependency
85515706,"Person1: You're nothing.  Do you understand me! You're NOBODY...
Person2: I'm... not... nobody...
Person1: You're lint!  You're a flea!  You're a blip!
Person2: Well, maybe I am.  But you're fired.",1,Shaming or Belittlement,
85515707,"Person1: Well, as you know, most of my staff have weighed in against this ""incursion.""  They believe it will fail to achieve anything fundamental militarily, and will result in crushing criticism domestically ...
Person2: I didn't ask what your staff thinks, Henry.  What do you think?
Person1: What I think is ... they're cowards. Their opposition represents the cowardice of the Eastern Establishment.  They don't realize as you do, Mr. President, that the Communists only respect strength, and they will only negotiate in good faith if they fear the ""madman,"" Richard Nixon.",0,,
85515708,"Person1: Father, by creating a little destruction, I am, in fact, encouraging life!  So, in reality, you and I are in the same business!
Person2: Destroying a glass is one thing..killing people with the weapons you produce is quite another.
Person1: Let me reassure you Father..I will never kill more people in my entire life than religion has killed in the last 2000 years.",1,Rationalization,
85515709,"Person1: We're looking for him. In your opinion, why did Frank kidnap Dorothy's son and husband?
Person2: He became obsessed with her. She hated him. He had to have her. He kidnapped them to control her. to make her do things. Then she wanted to commit suicide so he started cutting off ears as a warning to her to stay alive. I'm not kidding. Frank loved blue. blue velvet. He had to have Dorothy cause her whole life was blue.
Person1: You seemed to see some very interesting things on your little escapade with Dorothy Vallens.
Person2: Yeah. I guess I did.  What's going to happen to me?
Person1: We're going to leave that up to Detective Williams. I'll tell you though. you're okay. you shot a real son of a bitch.
Person2: Yeah. I sure know that. Yeah, but how many more are out there?",0,,
85515710,"Person1: Of course your performance was no surprise to me. After the other day I regarded it as no more than - a promised fulfilled.
Person2: You're more than kind. But it's still Miss Channing's performance. I'm just a carbon copy you read when you can't find the original...
Person1: You're more than modest.
Person2: It's not modesty. I just don't try to kid myself.
Person1: A revolutionary approach to the Theater. However, if I may a suggestion...
Person2: Please do.
Person1: I think the time has come for you to shed some of your humility. It is just as false not to blow your horn at all as it is to blow it too loudly...
Person2: I don't think I've done anything to sound off about.
Person1: We all come into this world with our little egos equipped with individual horns. If we don't blow them - who will?
Person2: Even so. One isolated pretty good performance by an understudy. It'll be forgotten tomorrow.
Person1: It needn't be.
Person2: Even if I wanted to - as you say - be less humble, blow my own horn... how would I do it? I'm less than nobody.
Person1: I am somebody.",1,Persuasion or Seduction,Low self-esteem
85515711,"Person1: You're the psycho! You haven't been able to deal with anything since high school ended!
Person2: You're the one who's still living out some stupid seventh-grade fantasy!
Person1: Forget you! Have fun living with your dad for the rest of your life!",1,"Accusation,Shaming or Belittlement",
85515712,"Person1: I'm going to keep an eye on that Kringelein fellow. I'll find out where he gets the money to hang around the Grand Hotel.
Person2: Well -- you want me?
Person1: Yes.
Person2: Well?
Person1: I must go to England -- at once.
Person2: Well?
Person1: You see, I'd like to take a secretary with me for my correspondence and -- humm -- humm -- for company on the trip -- I'm nervous -- I need somebody -- I don't know if you quite understand me. You said you have travelled with gentlemen -- and I mean --
Person2: I understand perfectly.
Person1: What do you think your salary would be -- for such a trip?
Person2: Wait -- I must figure it up.  First, I'll need -- clothes -- shoes -- it's cold in England in March, I'll need a suit... You'd want me to look nice?
Person1: Of course -- of course.
Person2: A thousand marks --
Person1: It's agreed -- I will get a room here for you.",1,Persuasion or Seduction,
85515713,"Person1: The Word. What you was put here to speak.
Person2: That's the last thing they took from me.
Person1: But you got to do it. You got to. Can't nobody Call like you. You have to be there.
Person2: What I have to do is get in my bed and lay down. I want to fix on something harmless in this world.
Person1: What world are you talking about? Ain't nothing harmless down here.
Person2: Blue. That doesn't hurt nobody. Yellow neither.
Person1: You getting into bed to think about yellow?
Person2: I likes yellow.
Person1: Then what? When you get through with blue and yellow, then what?
Person2: Can't say. It's something can't be planned.
Person1: You blaming God. That what you're doing?
Person2: No, Stamp. I ain't.
Person1: You saying whitefolks won. That what you saying?
Person2: Those white things have taken all I had or dreamed. I'm saying ain't no bad luck in this world 'cept for white folks..They just don't know when to stop.
Person1: You saying nothing counts?
Person2: I'm saying they came into my yard.
Person1: You saying God give up? Nothing left for us but pour out our own blood?
Person2: I'm saying they came into my yard.
Person1: You punishing Him, ain't you?
Person2: Not like He punished me.
Person1: You can't do that, Baby. It ain't right.
Person2: Was a time I knew what was.
Person1: You still know.
Person2: What I know is what I see: a nigger woman hauling shoes.
Person1: Aw, Baby.",1,Persuasion or Seduction,
85515714,"Person1: I'll go first.
Person2: No -- I will.
Person1: I stood up first.
Person2: That doesn't matter.
Person1: You always get to go first.",1,Accusation,
85515715,"Person1: Look, we have to get these...
Person2: I can't afford stuff like this right now.
Person1: I'm sick of waiting - we need to start getting stuff if we're ever going to move.  Aren't these the greatest towels?
Person2: Why do you care about this kind of stuff?
Person1: Don't you want nice stuff?
Person2: I can't imagine spending money on towels.
Person1: You don't have to. I'll pay for all the stuff right now and you can pay me back when you finally get a job.
Person2: You're insane.
Person1: Do you still want to go to that thing tonight?
Person2: What thing?
Person1: That guy's band is playing tonight... Alien Autopsy.
Person2: Oh yeah... maybe... Seymour's going on his big date tonight and I kind of want to be around when he calls, so I can hear how bad it went.
Person1: God, I'm so sick of Seymour.",1,Accusation,
85515716,"Person1: But now... they are all one with the Borg.
Person2: I am unlike any lifeform you have encountered before. As an android, I am in complete control of my neural net. The information contained there cannot be forcibly removed.
Person1: You are an imperfect being... created by an imperfect being. Finding your weakness is only a matter of time.",1,,
85515717,"Person1: Father!
Person2: Neil, you are going to quit this ridiculous play immediately.
Person1: Father, I--",1,Intimidation,Low self-esteem
85515718,"Person1: I hate having my picture taken.
Person2: You're crazy. The camera loves you, Vanessa.",1,Persuasion or Seduction,
85515719,"Person1: Within no time, everything was set in place. We got rid of the freelance scamsters. The per was way up.  The gods were happy, or as happy as the gods can ever be.  And I, I decided to complicate my life. For a guy who likes sure things, I was about to bet the rest of my life on a real longshot.
Person1: We're not getting any younger. Don't you think it's time? Aren't you gettin' tired of all this shit? Bangin' around, hustlin' around?
Person2: What, are you trying to handicap me?
Person1: I'm gonna do you one better. I'm trying to marry you. You want to marry me?  I'm serious. I mean, I - I want to settle down. I want a family.
Person2: You got the wrong girl, Sam.
Person1: I know I'd be a good father. I know you'd be a good mother.
Person2: You don't know me. What, you've known me, two, three months. What do you know?
Person1: I'm forty-three years old. I don't want to wait. I know you well enough to know that I really love you very much.  And I can't think of anybody better to be with. And I don't feel like waiting anymore.
Person2: You know a lot of happily married people, Sam? 'Cause I don't.
Person1: Yeah, I know all that.
Person2: I care about you, a - But I just don't have those kind of feelings for you. I'm sorry. I'm not in love with you.
Person1: I - I - I...
Person2: Understand?  I'm sorry.
Person1: No, I - I... mean...  that can grow as I - as long as there's a mutual respect... that kind of thing can grow. I'm realistic. I can accept that. But, you know, what is... What is love anyway?  It's a... it's a mutual respect. It's - it's a devotion. It's a... it's a caring from one person to another. And if we could set up some kind of foundation...  based on that mutual respect...  I feel that eventually you would care enough about me... that I could live with that.
Person2: If it doesn't work out. You know, if it doesn't play out, then what happens to me?
Person1: You know I'm doin' well now. And I'm gonna do even better. And so, whatever happens, if it doesn't work out between us, I'm gonna make sure you're okay for the rest of your life. And if there are kids, especially, you know, I'll take care of you better than you'd ever imagine.
Person2: What're you... what're you pitching me, here?
Person1: Just what I said. You'll be set up for the rest of your life. That I can promise you.  Want to take a chance?",1,"Rationalization,Persuasion or Seduction",Dependency
85515720,"Person1: Oh please, who do you think you're kidding? And where did she spy on the Russians from, here in Pennsylvania??
Person2: No, not here in Pennsylvania, she went to Russia undercover with her acting troupe and got a lot of highly sensitive secret plans sent back. Just when she was about to go home, she got caught, and they killed her.
Person1: All right, so when did she have you between all her acting and spying and getting caught?
Person2: That's simple. She was pregnant with me...when she went to Russia and she didn't know...and then when the Russians found out, they waited to shoot her 'cause you're not allowed to kill pregnant women anywhere in the world.",0,,
85515721,"Person1: He was curious from birth - premature by two weeks, as if he couldn't wait to get started.
Person2: Of course, his eagerness to leave his mother's womb also meant he was the one selected.
Person1: In competition with five other unwanted pregnancies - the casting of a show determined by an air date - he was the one who arrived on cue.
Person2: Who knew that a show originally meant to last one year - ""Bringing Up Baby"" - would turn into a ""cradle to grave"" concept.  He is in fact the first child in the world to be legally adopted by a corporation.
Person1: That's correct.
Person2: And the show now generates a yearly income equivalent to the gross national product of a small country.
Person1: People forget it takes the population of an entire country to keep the show running.
Person2: No, of course not.  And since the show runs 24 hours a day with no commercial breaks the staggering profits are all generated from product placement.
Person1: Yes, everything you see on the show is for sale - from the actors' wardrobe, food products, to the very homes they live in--
Person2: All products carefully chosen and tested by you for quality and aesthetic value.
Person1: There's nothing on the show I don't use myself.
Person2: And it's all available in the ""Truman"" Show"" catalogue.  Operators are standing by.",0,,
85515722,"Person1: I was sorry to hear about your wife.
Person2: Yes ... I got the money.
Person1: The President would like to know if that was the last payment.
Person2: I'll bet he would.
Person1: Is it?
Person2: In Richard Nixon's long history of underhanded dealings, he has never gotten better value for his money.  If I were to open my mouth, all the dominoes would fall.",1,Intimidation,
85515723,"Person1: Stu? Is that you? Where did you go?
Person2: Me? Nowhere. I was asleep.
Person1: Baby, don't lie. I know you went out.
Person2: Not me. Nope. You must've been dreaming.",1,"Accusation,Denial",
85515724,"Person1: We could create our own hell there.
Person2: You saying we go up there and kill everyone?
Person1: Eventually, Cassius. But first we corrupt as many as we can so that when we do destroy them...
Person2: ...their damned souls will be ours.
Person1: It's our time, brother.",1,Persuasion or Seduction,
85515725,"Person1: Do you know how many times I've boarded an airplane praying someone like her would sit down beside me? Particularly while I'm on my way to Pittsburgh.
Person2: Lay off Pittsburgh. It's one of the great cities.
Person1: If it can produce a Miss Sloviak you'll get no argument from me.
Person2: She's a transvestite.
Person1: You're stoned.
Person2: She's still a transvestite.
Person1: Mm.
Person2: Isn't she?",0,,
85515726,"Person1: Huh?
Person2: What are you doing here?
Person1: I hope you don't think I'm crazy, but I just had to come in here and show you I ain't scared of yo' punk ass brothers...and you wouldn't have be scared of 'em neither if you had a man like me in yo' life.
Person2: What??  So you snuck in my room to tell me that?
Person1: Yes I did.  Excuse me.",1,,
85515727,"Person1: My name is Jason Nesmith. I'm an actor. We're all actors.
Person2: Our dimwitted friends don't understand the concept of acting. They have no theater, no imagination these scientists.
Person1: We pretend...
Person2: Simpler.
Person1: We.. We lie.
Person2: Yes... You understand THAT, don't you, Mathesar?...",0,,
85515728,"Person1: I just thought if I saw you face to face, maybe it would help.
Person2: Did it?
Person1: It helped me realize one thing.
Person2: What?
Person1: You're a self-obsessed little cunt like your mother.",1,Shaming or Belittlement,
85515729,"Person1: They buried my ma & pa and my sisters. And Chingachgook - who found me with two French trappers - raised me up as his own.
Person2: I'm sorry.
Person1: I do not remember them. I was one or two.
Person2: How did you learn English?
Person1: My father sent Uncas & I to Reverend Wheelock's school when I was ten. So we would know both worlds... though we were told only bother learning readin' & arithmetic from yours.
Person2: And what were the consequentialities of European culture you didn't bother with?
Person1: The Bible. Monarchy. Many wrong ideas about the government of men. My father's people already know each man is his own nation. And only he can have dominion over himself. Not kings. No man is better than any other man.
Person2: In London those radical ideas could land you in Newgate prison.  Why were those people living in this defenseless place...?
Person1: 'Cos frontier land's the only land affordable to poor people. So after seven years indentured service in Virginia, they headed out here where they are beholden to none and not livin' by another's leave...  Their name was Cameron. John & Alexandria.",0,,
85515730,"Person1: Oh, gee thanks.  Mmmm, let me see--
Person2: Yes or no.
Person1: What do you think?  Of course yes!  What's involved?
Person2: You will be contacted with the assignment.
Person1: My husband can't know about this.
Person2: No one must know!  Especially him.  You must appear to live your life normally, conveying nothing.  The security of this nation depends on it.  Can you do that?
Person1: I think so.
Person2: Think carefully.  You will be lying to the man you love.  The person who trusts you the most.
Person1: I can do it!
Person2: The code name of your contact will be Boris.  Your code name will be--
Person1: Natasha?
Person2: No.  Doris.",0,,
85515731,"Person1: Huh? Try and find a raincoat in Brazil. Even when it isn't raining  Lisa, on this job you carry one suitcase. Your home is the available transportation. You sleep rarely, bathe even less, and sometime the food you even look at when they were alive!
Person2: Jeff, you don't have to be deliberately repulsive just to impress me I'm wrong.
Person1: If anything, I'm making it sound good.  Let's face it, Lisa... you aren't made for that kind of a life. Few people are.",1,"Rationalization,Persuasion or Seduction",
85515732,"Person1: Mick.  Mick.  Mick...
Person2: What?
Person1: You -- Listen. You said to me, if not now, when...
Person2: I know what I said but not now. You won it.  Franky.  You won it. When they give you the money, that means that you won.  We don't want to go to court -- is this getting to you...?  You know who the attorney is for the Archdiocese, Eddie Concannon.
Person1: ...he's a good man...
Person2: ...he's a good man...?  He's the Prince of Darkness...he'll have people in there testifying that the broad is well -- they saw her Tuesday on a surfboard at Hyannis...don't mess with this case.
Person1: ...I have to stand up for her...
Person2: Frank, but not now.  Frank.  You're trying to wipe out some old business.  But not now.  I understand.  But you go call 'em back.  You call the Bishop back.
Person1: I have to try this case.  I have to do it, Mick.  I've got to stand up for that girl.  I need your help.    Mick, will you help me...?    Will you help me...?",1,"Persuasion or Seduction,Rationalization",
85515733,"Person1: You should shit or get off the pot.
Person2: I should shit or get off the pot.
Person1: Yeah, you should shit or get off the pot.
Person2: What are you talking about?
Person1: I'm talking about this thing you have... this inability to improve your situation in life.
Person2: Forget you.
Person1: It's true. You'll sit there and blame life for dealing a cruddy hand, never once accepting the responsibility for the way your situation is.
Person2: What responsibility?
Person1: All right, if you hate this job and the people, and the fact that you have to come in on your day off, then quit.
Person2: As if it's that easy.
Person1: It is. You just up and quit. There are other jobs, and they pay better money. You're bound to be qualified for at least one of them. So what's stopping you?
Person2: Leave me alone.
Person1: You're comfortable. This is a life of convenience for you, and any attempt to change it would shatter the pathetic microcosm you've fashioned for yourself.
Person2: Oh, like your life's any better?
Person1: I'm satisfied with my situation for now. You don't hear me bitching. You, on the other hand, have been bitching all day.
Person2: Thank you. Why don't you go back to the video store?
Person1: It's the same thing with Veronica.
Person2: Leave her out of this.
Person1: You date Veronica because she's low maintenance and because it's convenient. Meanwhile, all you ever do is talk about Caitlin. You carry a torch for a girl you dated in high school-in high school for God's sake! You're twenty-two!
Person2: Leave me alone.
Person1: If you want Caitlin, then face Veronica, tell her, and be with Caitlin. If you want Veronica, be with Veronica. But don't pine for one and be with the other. Man, if you weren't such a coward...
Person2: ...If I wasn't such a coward.  It must be so great to be able to simplify everything the way you do.
Person1: Am I right or what?
Person2: You're wrong. Things happened today, okay? Things that probably ruined my chances with Caitlin.
Person1: What? The dead guy?  She'll get over fucking the dead guy. Shit, my mom's been fucking a dead guy for thirty years; I call him Dad.
Person2: Caitlin and I can't be together. It's impossible.
Person1: Melodrama coming from you seems about as natural as an oral bowel movement.
Person2: What do you want me to say? Yes, I suppose some of the things you're saying may be true. But that's the way things are; it's not going to change.
Person1: Make them change.
Person2: I can't, all right! Jesus, would you leave me alone? I can't make changes like that in my life. If I could, I would-but I don't have the ability to risk comfortable situations on the big money and the fabulous prizes.
Person1: Who're you kidding? You can so.
Person2: Jesus H. Christ, I can't!
Person1: So you'll continue being miserable all the time, just because you don't have the guts to face change?
Person2: My mother told me once that when I as three, my potty lid was closed, and instead of lifting it, I chose to shit my pants.
Person1: Lovely story.
Person2: Point is-I'm not the kind of person that disrupts things in order to shit comfortably.",1,"Evasion,Accusation",
85515734,"Person1: I knew you wouldn't kill me.
Person2: Maybe we should have children. I don't think I'd kill the father of my child.
Person1: We can work this out. Other couples have worse problems.
Person2: Worse than this?
Person1: Sure. Cheating, lying. What's a little werewolf a few days a month? We can move out to the country where you can feed off deer.
Person2: What about... those guys... I might have...
Person1: No way can anything be proved. All they have are some wolf hairs. No one believes in werewolves.
Person2: I'm so sorry... I... I couldn't help it. You know I didn't mean to... to do any of that.
Person1: I know. The important thing is that it stop.",1,"Feigning Innocence,Persuasion or Seduction",
85515735,"Person1: So, how did you learn that the Gestapo was out to get you?
Person2: During an enforced hour-long interval because of a power failure at a concert here in Berlin, Albert Speer, the Minister of Armaments, said to me, 'You look very tired Dr. Furtwngler, you should go abroad for a while.' I knew exactly what he meant.
Person1: You sure knew a lot of people in high places.
Person2: It would be truer to say, I think, that a lot of people in high places knew me.
Person1: You were real close to all of them, to Adolf, to Hermann, to Joseph, to Baldur, and now Albert,  So, let's hear the truth, let's come clean. What was your Party number?
Person2: If you are going to bully me like this, Major, you had better do your homework. You obviously have no idea how impertinent and stupid your questions are.",1,"Shaming or Belittlement,Accusation",
85515736,"Person1: Is that really what you want?
Person2: I want to stop taking those pills.
Person1: I wish you wouldn't.
Person2: They do something to me.  It's hard to think straight.
Person1: I think they help.
Person2: I have consciousness, but I am not mortal.  Don't you see why I'm going crazy?
Person1: You have to remember that I love you, that's all that matters --
Person2: I can't --
Person1: It put you here.  I'll admit it, it acted like a God and put you here, put you into my consciousness.  I was asleep, and it put you into my dream.  I saw your mouth.  And there you were.  Whether you've been sent here to make me happy or punish me, it doesn't matter.  The decision we make now is all that matters.  Stay with me.
Person2: Am I really her?
Person1: I don't know anymore.  All I see is you.",1,"Playing Servant Role,Persuasion or Seduction",Naivete
85515737,"Person1: That's just how my brain works, I guess.
Person2: Fascinating. Listen, why don't you come out with us after the lecture. There's a place on the Hill I always get Trip to take me.
Person1: Actually... I just want to go home.
Person2: Oh, don't be silly. No one your age just wants to go home. Besides, faculty will be present. Just think of it as a field trip.",1,Persuasion or Seduction,
85515738,"Person1: Now Mother, your attitude is perfectly ridiculous. It's done now. Stewart and I are married.
Person2: I'm afraid she's right, Mrs. Schuyler. I'm really very sorry, Mrs. Schuyler, that you feel this way. I was in hopes that you would like me. I'm not the burglar that you think I am. After all, we're married. I think the thing to do is to kiss and make up - Mother.",1,,
85515739,"Person1: Joe, I don't know what you think you know, but you're wrong.
Person2: Like hell I am.
Person1: Joe, trust me on this, you've made a mistake. He's a good kid. I understand you're hot, you're super-pissed. We're all real emotional. But you're barking up the wrong tree. I know this man, and he wouldn't do that.
Person2: You don't know jack shit. I do. This rotten bastard tipped off the cops and got Mr. Brown and Mr. Blue killed.",1,Persuasion or Seduction,
85515740,"Person1: How much do you owe me, Curly?
Person2: Oh, gee, Mr. Gittes we're going out tomorrow. I know you been real good about it but my cousin Auggie's sick.
Person1: Forget it. How would you like to pay me off by taking a couple of passengers to Ensenada... you'd have to leave tonight.
Person2: I don't know...
Person1: I might be able to squeeze an extra seventy-five bucks out of it for you. Maybe an even hundred.
Person2: Plus what I owe you?
Person1: I'll throw that in too.
Person2: Okay, you got yourself a boat.",1,Persuasion or Seduction,Dependency
85515741,"Person1: Are you crazy, you'll get stung!!
Person2: You're right, let's knock it down.
Person1: What do you want it for anyway?
Person2: For their meat.",0,,
85515742,"Person1: You really think you'll be able to fool a jury with this bullshit?  How stupid are you?
Person2: Smarter than Americans.  You're fed cry baby talk shows all day long.  Not only will Americans believe me, they'll cry for me.  So...Detective Eddie Flemming, would you like to say goodbye to your Nicolette? Maybe you can propose to her now?",1,Shaming or Belittlement,
85515743,"Person1: Oh, hey, change of plans. Steph's off today, so she and I are going on a hike.
Person2: We were supposed to play golf.
Person1: You go. In fact, use my clubs. They're brand new -- gift from Christine's dad.  It's on me. Oh, say, by the way, Stephanie and me were thinking we'd all go to the Hitching Post tonight and sit at one of Maya's tables, and she'll bring us some great wines and then we can all --
Person2: Count me out.
Person1: Oooh, I see. Didn't go so good last night, huh? That's a shocker. You mean getting drunk and calling Victoria didn't put you in the mood? You dumb guy. Your divorce pain's getting real old real fast, dude.",0,,
85515744,"Person1: Somebody's there, Barry.
Person2: Come on, Claudette. A man's not made of stone.
Person1: Let's go back, Barry...
Person2: I need you so much, Claudette.",1,,
85515745,"Person1: One of these days, you're going to wake up in the middle of the night and find that you've cut your throat.
Person2: How clumsy. I'd never forgive myself. Good night my dear.
Person1: You could have got in that room, just as you got in here. How do I know you didn't kill Larry?
Person2: With what motive?
Person1: Nastiness. You're nasty with words. Why wouldn't you be nasty with deeds once in a while? You hated him--and I know why.
Person2: He was very easy to hate. If you'll look in your mirror, when you are in a better temper- you'll know why.",1,"Accusation,Shaming or Belittlement",
85515746,"Person1: Cut uptown, take 8th to 57th then cut up Broadway.
Person2: You're crazy, go to the east side and take the park avenue to the JFK.
Person1: The JFK? In the rain!?",0,,
85515747,"Person1: Now, listen! You never arrived here with this -- reprieve. Get it?
Person2: Yes, I did, just now. Don't you remember?
Person1: How much do you make a week?
Person2: Huh?
Person1: How much do you make a week? What's your salary?
Person2: Forty dollars.",1,,
85515748,"Person1: You're seeing bugs where they don't exist, Striker.
Person2: Look at this wiring.  It's shorting out under high temperatures.
Person1: You're tired, Striker, overworked.  That wiring meets all the safety specifications.
Person2: I know you've been subtly spreading the word that I'm having a breakdown.",1,Accusation,
85515749,"Person1: Well, Miss Henried, what a coincidence. You're just in time fer a case that seems ta concern you. Guess you didn't care about the other proceedin's we been dealin' with here this mornin'.
Person2: I'm sorry. I was...busy. In the lab.
Person1: Well, you managed ta make it here jus' in time fer this case, didn't ya?",1,Shaming or Belittlement,
85515750,"Person1: Alright, now tell me. What is it?
Person2: There are opportunities in life for gaining knowledge and experience. Sometimes, in some cases, it's necessary to take a risk. I got to thinking. I'll bet a person could learn a lot by getting into that woman's apartment, you know, sneak in and hide and observe.
Person1: You said it was a strange world. And you're the strangest part of it. Are you crazy? She is possibly involved in murder. This gives me the creeps.
Person2: Settle down. I have a plan which I think will work. There is very little for you to do, but I do need your help. Aren't you curious about my plan?
Person1: It wouldn't hurt to hear the plan, I guess.
Person2: Alright. the first thing is to get into her apartment and open a window that I could crawl into later.
Person1: Now, how are you going to do that?
Person2: Right out in the car I happen to have some old overalls and a bug spraying rig. I will go to her apartment and be the pest control man. I will spray her apartment. After a few minutes you will knock on her door, drawing her attention away from me and I will then jimmy a window.
Person1: What will I say when she comes to the door?
Person2: You will be a Jehovah's Witness. I have a few ""Awake"" magazines for you. You don't have to keep her very long. A few seconds is all I'll need. Whatiya think?
Person1: I don't know, it sounds like a good daydream, but actually doing it is too weird. Too dangerous.
Person2: Let's just try the first part. If that goes well, we'll see about the rest. No one will suspect us, because no one would believe two people like us would be crazy enough to do something like this.
Person1: You've got a point there.",1,Persuasion or Seduction,"Naivete,Dependency"
85515751,"Person1: It's a miracle she's not dead!
Person2: We have to do something before she tries it again!  I beg of you, my lord, don't let her down... let me organize an escape...
Person1: Jean, it's... it's not so easy...
Person2: But not impossible... Gilles and La Hire are ready to risk everything to save her...
Person1: Jean... me dear, loyal Jean... why do you want to oppose the will of God?  Jeanne wanted to go to Compiegne -- we let her -- she got caught.  Then, on my personal orders, Regnault proposed 30,000 crowns for her ransom, and once again the answer was no.  And now you say she tried to escape, and the answer is still no.  Jean, open your eyes -- can't you see the hand of God in all this?
Person2: No.  I see the hand of Tremoille, and Regnault, and Yolande, and you... and they are dirty hands.",1,"Rationalization,Accusation,Persuasion or Seduction",
85515752,"Person1: I'm sorry I'm late, but something happened.
Person2: You're forgiven if you don't make dates with anybody except me for the rest of the voyage.
Person1: I must say you're persistent--  --it's kind of flattering.",1,Persuasion or Seduction,
85515753,"Person1: Finish your tour?
Person2: And anxious to get started.  What is this, mostly malaria?
Person1: Yes- but their suffering is only transitory- once they except God into their hearts, He will vanquish all pain.",0,,
85515754,"Person1: Rick, I want to talk to you.
Person2: Ah, Cole.  I don't remember ordering an asshole from room service.",1,"Evasion,Shaming or Belittlement",
85515755,"Person1: You know what I want to do?
Person2: Yeah.
Person1: What do I want to do?
Person2: You want to fuck me. But you can't fuck me.
Person1: Why?
Person2: Because, you know why. You know.
Person1: Because your a virgin?
Person2: Because I'm a virgin and I don't want no baby.
Person1: You think I want a baby? When you're with me, you don't have to worry about that kinda stuff.
Person2: Why is that?
Person1: Because I like you. I think you're beautiful. I think if we were together, you would love it. You wouldn't even believe it.
Person2: I wouldn't believe it?
Person1: I don't know. I just think that you would love it.
Person2: But, I don't know. I'm just scared that things would change. Between us.
Person1: What things? I'm telling you, nothing's going to change.  I want to make you happy. That's all.",1,Persuasion or Seduction,"Naivete,Dependency"
85515756,"Person1: -- But I wanted you to know first who it was who had beaten you. I, Khan Noonian Singh, the eagle you attempted to cage forever.
Person2: Khan, listen to me -- if its me you want, I'll have myself beamed aboard. All I ask is that you spare my crew.
Person1: That is a most intriguing offer. Typical, I must say of your sterling character. Let me think.",0,,
85515757,"Person1: So...you never did tell me...what made you come out to the worker bar that night?
Person2: Just looking for fun, adventure, trouble, I guess.
Person1: Well, ""trouble"" is my middle name. Actually, my  middle name is .985, but I don't tell people.  Hey, Bala, I...I actually have something of yours...you left it at the bar that night.",0,,
85515758,"Person1: When I said you being the best salesman here didn't say much, I meant for us. I know your record with Sarber and Webb, and I'd say you're a top-flight man, but you've had no incentive. No one walking on your heels. Just a lot of half asses, so the tendency's been not to stretch yourself. I'm bouncing the slobs, incidentally.
Person2: So I heard.
Person1: Makes no difference to me if they're only on commission. If they don't make good money, they're not giving us good representation, and we can't afford to have them around. Ever supervise salesmen?
Person2: Just myself.
Person1: That's right, you've had to supervise yourself. This place needs a sales manager. Somebody who's proved he's a salesman and can handle other salesmen. He'd have a lot of deadwood to clear out, new men to hire. What do you think?",1,Persuasion or Seduction,
85515759,"Person1: What do you mean?
Person2: I mean, it's a good story.
Person1: Shit. If you can't share your secrets with your friends, what kind of friend are you?
Person2: Exactly. Life just wouldn't be worth living, would it?",1,,
